2026-04-25 12:34:28 - Monitoring Started
2026-04-26 17:53:26 - [INIT] Netra Application Started
2026-04-26 17:53:26 - [INIT] Netra Application Started
2026-04-26 17:57:39 - [INIT] Netra Application Started
2026-04-26 17:57:39 - [INIT] Netra Application Started
2026-04-26 18:07:33 - [INIT] Netra Application Started
2026-04-26 21:17:49 - [INIT] Netra Application Started
2026-04-26 21:17:50 - [INIT] Netra Application Started
2026-04-26 21:25:12 - [START] Monitoring session initiated
2026-04-26 22:42:52 - [INIT] Netra Application Started
2026-04-26 22:42:58 - [INIT] Netra Application Started
2026-04-26 22:45:58 - [START] Monitoring session initiated
2026-04-26 23:05:43 - [START] Monitoring session initiated
2026-04-26 23:06:10 - [STOP] Monitoring session ended | Packets Captured: 0
2026-04-26 23:17:01 - [START] Monitoring session initiated
2026-04-26 23:18:09 - [START] Monitoring session initiated
2026-04-27 20:23:39 - [INIT] Netra Application Started
2026-04-27 20:23:40 - [INIT] Netra Application Started
2026-04-27 20:23:54 - [START] Monitoring session initiated
2026-04-27 20:34:28 - [INIT] Netra Application Started
2026-04-27 20:34:29 - [INIT] Netra Application Started
2026-04-27 20:34:37 - [START] Monitoring session initiated
2026-04-27 20:41:52 - [INIT] Netra Application Started
2026-04-27 20:43:00 - [INIT] Netra Application Started
2026-04-27 21:07:25 - [INIT] Netra Application Started
2026-04-27 21:07:28 - [INIT] Netra Application Started
2026-04-27 21:09:28 - [SNIFFER] Real-time packet capture started
2026-04-27 21:09:28 - [START] Real-time monitoring session initiated
2026-04-27 21:09:28 - [START] Real-time monitoring session initiated
2026-04-27 21:09:29 - [SNIFFER] Real-time packet capture started
2026-04-27 21:09:30 - [SNIFFER] Real-time packet capture started
2026-04-27 21:09:31 - [SNIFFER] Real-time packet capture started
2026-04-27 21:09:32 - [SNIFFER] Real-time packet capture started
2026-04-27 21:09:33 - [SNIFFER] Real-time packet capture started
2026-04-27 21:09:34 - [SNIFFER] Real-time packet capture started
2026-04-27 21:09:35 - [SNIFFER] Real-time packet capture started
2026-04-27 21:09:36 - [SNIFFER] Real-time packet capture started
2026-04-27 21:09:37 - [SNIFFER] Real-time packet capture started
2026-04-27 21:09:38 - [SNIFFER] Real-time packet capture started
2026-04-27 21:09:39 - [SNIFFER] Real-time packet capture started
2026-04-27 21:09:40 - [SNIFFER] Real-time packet capture started
2026-04-27 21:09:41 - [SNIFFER] Real-time packet capture started
2026-04-27 21:09:42 - [SNIFFER] Real-time packet capture started
2026-04-27 21:09:43 - [SNIFFER] Real-time packet capture started
2026-04-27 21:09:44 - [SNIFFER] Real-time packet capture started
2026-04-27 21:09:45 - [SNIFFER] Real-time packet capture started
2026-04-27 21:09:46 - [SNIFFER] Real-time packet capture started
2026-04-27 21:09:47 - [SNIFFER] Real-time packet capture started
2026-04-27 21:09:48 - [SNIFFER] Real-time packet capture started
2026-04-27 21:09:49 - [SNIFFER] Real-time packet capture started
2026-04-27 21:09:50 - [SNIFFER] Real-time packet capture started
2026-04-27 21:09:51 - [SNIFFER] Real-time packet capture started
2026-04-27 21:09:52 - [SNIFFER] Real-time packet capture started
