Time,Source_IP,Destination_IP,Protocol,Packet_Size,Source_Port,Destination_Port
10:35:21,192.168.1.5,8.8.8.8,TCP,512,52341,80
10:35:23,192.168.1.10,172.217.3.110,TCP,1024,52342,443
10:35:25,192.168.1.15,8.8.4.4,UDP,256,52343,53
10:35:27,192.168.1.20,1.1.1.1,ICMP,128,0,0
10:35:29,192.168.1.25,192.168.1.1,TCP,768,52344,22
10:35:31,192.168.1.30,192.168.1.254,UDP,512,52345,67
10:35:33,192.168.1.35,151.101.1.69,TCP,2048,52346,80
10:35:35,192.168.1.40,104.16.132.229,TCP,1500,52347,443
10:35:37,192.168.1.45,8.8.8.8,UDP,300,52348,53
10:35:39,192.168.1.50,192.168.1.1,ICMP,64,0,0
