Time,Source_IP,Destination_IP,Protocol,Packet_Size,Source_Port,Destination_Port
10:35:21,192.168.1.5,8.8.8.8,TCP,512,52341,80
10:35:23,192.168.1.10,172.217.3.110,TCP,1024,52342,443
10:35:25,192.168.1.15,8.8.4.4,UDP,256,52343,53
10:35:27,192.168.1.20,1.1.1.1,ICMP,128,0,0
10:35:29,192.168.1.25,192.168.1.1,TCP,768,52344,22
10:35:31,192.168.1.30,192.168.1.254,UDP,512,52345,67
10:35:33,192.168.1.35,151.101.1.69,TCP,2048,52346,80
10:35:35,192.168.1.40,104.16.132.229,TCP,1500,52347,443
10:35:37,192.168.1.45,8.8.8.8,UDP,300,52348,53
10:35:39,192.168.1.50,192.168.1.1,ICMP,64,0,0
10:35:41,192.168.1.55,142.250.190.78,TCP,900,52349,443
10:35:43,192.168.1.60,192.168.1.1,UDP,400,52350,161
10:35:45,192.168.1.65,8.8.8.8,TCP,1200,52351,80
10:35:47,192.168.1.70,13.107.21.200,TCP,1300,52352,443
21:09:28,10.49.78.82,142.250.187.65,UDP,86,55474,443
21:09:28,142.250.187.65,10.49.78.82,UDP,1296,443,55474
21:09:28,10.49.78.82,142.250.187.65,UDP,88,55474,443
21:09:28,142.250.187.65,10.49.78.82,UDP,1296,443,55474
21:09:28,10.49.78.82,142.250.187.65,UDP,88,55474,443
21:09:28,8.8.8.8,10.49.78.82,UDP,150,53,59852
21:09:28,8.8.8.8,10.49.78.82,UDP,102,53,58720
21:09:28,10.49.78.82,8.8.4.4,TCP,66,50744,443
21:09:28,142.250.187.65,10.49.78.82,UDP,1296,443,55474
21:09:28,142.250.187.65,10.49.78.82,UDP,1296,443,55474
21:09:28,10.49.78.82,142.250.187.65,UDP,95,55474,443
21:09:28,10.49.78.82,142.250.187.65,UDP,90,55474,443
21:09:28,142.250.187.65,10.49.78.82,UDP,1296,443,55474
21:09:28,10.49.78.82,142.250.187.65,UDP,92,55474,443
21:09:28,142.250.187.65,10.49.78.82,UDP,1296,443,55474
21:09:28,10.49.78.82,142.250.187.65,UDP,94,55474,443
21:09:28,142.250.187.65,10.49.78.82,UDP,1296,443,55474
21:09:28,10.49.78.82,142.250.187.65,UDP,96,55474,443
21:09:28,142.250.187.65,10.49.78.82,UDP,1296,443,55474
21:09:28,10.49.78.82,142.250.187.65,UDP,98,55474,443
21:09:28,8.8.4.4,10.49.78.82,TCP,70,443,50744
21:09:28,10.49.78.82,8.8.4.4,TCP,54,50744,443
21:09:28,10.49.78.82,8.8.4.4,TCP,1774,50744,443
21:09:28,142.250.187.65,10.49.78.82,UDP,1296,443,55474
21:09:28,142.250.187.65,10.49.78.82,UDP,1296,443,55474
21:09:28,10.49.78.82,142.250.187.65,UDP,98,55474,443
21:09:28,10.49.78.82,142.250.187.65,UDP,100,55474,443
21:09:28,8.8.4.4,10.49.78.82,TCP,56,443,50744
21:09:28,10.49.78.82,8.8.4.4,TCP,66,52215,443
21:09:28,142.250.187.65,10.49.78.82,UDP,1296,443,55474
21:09:28,142.250.187.65,10.49.78.82,UDP,1296,443,55474
21:09:28,10.49.78.82,142.250.187.65,UDP,80,55474,443
21:09:28,10.49.78.82,142.250.187.65,UDP,80,55474,443
21:09:28,8.8.4.4,10.49.78.82,TCP,60,443,50744
